"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58220","TC-STUL — Click student name link to navigate to student profile","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","42505","TC-GRDP — Counselor adds a new guardian contact to a student","chromium","2026-08-05","passed","2026-08-05","GRDP — Student Contacts","","",""
"","30755","TC-BKM — Student moves a university from the Applying list back to Shortlist or Longlist via the card kebab menu","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","44287","TC-APPL — Counselor views Application Tracker for an assigned student","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","23160","TC-AUTH — Teacher logs in and is redirected to the recommendations page","chromium","2026-08-05","passed","2026-08-05","AUTH — Role-Based Redirects","","",""
"","34386","TC-AUTH — Password reset via phone number","chromium","2026-08-05","passed","2026-08-05","AUTH — Password Reset","","",""
"","7173","TC-AUTH — Login form rejects invalid credentials and empty fields","chromium","2026-08-05","passed","2026-08-05","AUTH — Login and Logout","","",""
"","39195","TC-GRDP — Guardian opens their profile edit page and sees current details","chromium","2026-08-05","passed","2026-08-05","GRDP — Guardian Profile","","",""
"","29816","TC-APPL — Student views Application Tracker page with In Progress and Submitted sections","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","23422","TC-APPL — Other portals in-progress rows render with correct header and count","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","40469","TC-GRDP — Counselor opens a student's profile and the Contacts list loads with existing guardian contacts","chromium","2026-08-05","passed","2026-08-05","GRDP — Student Contacts","","",""
"","31616","TC-BKM — Student adds a university to the Longlist via the +Add button","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","38269","TC-APPL — Delete application via the kebab menu — Common App applications show a confirmation dialog; others delete immediately","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","74069","TC-AUTH — Authenticated user can log out","chromium","2026-08-05","passed","2026-08-05","AUTH — Login and Logout","","",""
"","33845","TC-BKM — Student moves a university from Shortlist to the Applying list via the card kebab menu","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","29010","TC-BKM — Student moves a university from Longlist to Shortlist via the card kebab menu","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","60379","TC-AUTH — Password reset via email","chromium","2026-08-05","passed","2026-08-05","AUTH — Password Reset","","",""
"","35660","TC-APPL — Student adds a university to the Applying list via + Add application","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","115450","TC-ONBRD — Student in grade 10 or below completes the pre-quiz only","chromium","2026-08-05","passed","2026-08-05","ONBRD — Onboarding Quiz","","",""
"","98407","TC-STUL — Counselor views active students in Student List","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","35128","TC-BKM — Counselor views Bookmarks page for an assigned student","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","35852","TC-STUL — Student List module-level loading states: skeleton on first load, inline bar on reload","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","35296","TC-AUTH — Student (onboarded) logs in with email and password","chromium","2026-08-05","passed","2026-08-05","AUTH — Login and Logout","","",""
"","32096","TC-AUTH — Password reset form rejects invalid input","chromium","2026-08-05","passed","2026-08-05","AUTH — Password Reset","","",""
"","20641","TC-BKM — Bookmarks page-level empty state shown when the student has no bookmarks and no filter","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","107346","TC-STUL — Admin views all active students in Student List","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","40416","TC-GRDP — Guardian submits a survey with all questions answered","chromium","2026-08-05","passed","2026-08-05","GRDP — Guardian Surveys","","",""
"","23267","TC-APPL — Application actions kebab menu on an Other-portal application shows exactly its six documented actions","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","34724","TC-GRDP — Guardian views their assigned surveys list","chromium","2026-08-05","passed","2026-08-05","GRDP — Guardian Surveys","","",""
"","29814","TC-GRDP — Guardian saves changes to their profile","chromium","2026-08-05","passed","2026-08-05","GRDP — Guardian Profile","","",""
"","29806","TC-GRDP — A user without the guardian-profile permission is denied access to the guardian profile edit page","chromium","2026-08-05","passed","2026-08-05","GRDP — Guardian Profile","","",""
"","28340","TC-APPL — Application actions kebab menu on a UCAS application shows exactly its three documented actions","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","24652","TC-BKM — Student views Bookmarks page with Longlist, Shortlist, and Applying list columns","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","43046","TC-BKM — Go to applications link in the Bookmarks Applying list column navigates to Application Tracker","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","44262","TC-AUTH — Guardian logs in and is redirected to linked student's home","chromium","2026-08-05","passed","2026-08-05","AUTH — Role-Based Redirects","","",""
"","37498","TC-AUTH — Admin logs in and lands on the dashboard","chromium","2026-08-05","passed","2026-08-05","AUTH — Login and Logout","","",""
"","22874","TC-ONBRD — Quiz result page reveals the student's readiness level","chromium","2026-08-05","passed","2026-08-05","ONBRD — Onboarding Quiz","","",""
"","40694","TC-STUL — Open and close the Student Info card via the info icon","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","27505","TC-BKM — Student adds a university to the Shortlist via the +Add button","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","38615","TC-APPL — Application actions kebab menu on a Common App application shows exactly its seven documented actions","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","39605","TC-BKM — Guardian with full access views Bookmarks page for a linked student","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","38182","TC-BKM — Left-nav Bookmarks and Applications links navigate to the correct pages","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","5196","TC-AUTH — Unauthenticated user is redirected to sign-in with return URL","chromium","2026-08-05","passed","2026-08-05","AUTH — Login and Logout","","",""
"","12651","TC-AUTH — Expired or invalid reset code redirects to sign-in","chromium","2026-08-05","passed","2026-08-05","AUTH — Password Reset","","",""
"","26393","TC-APPL — Submitted section empty state shows the Saige image, message, and Search university button","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","41899","TC-GRDP — Guardian opens a linked student's left-nav icon and sees the sub-nav panel","chromium","2026-08-05","passed","2026-08-05","GRDP — Linked Students","","",""
"","42826","TC-AUTH — Counselor logs in and logs out","chromium","2026-08-05","passed","2026-08-05","AUTH — Login and Logout","","",""
"","118586","TC-ONBRD — Student in grade 11 or above completes the full onboarding quiz","chromium","2026-08-05","passed","2026-08-05","ONBRD — Onboarding Quiz","","",""
"","39911","TC-BKM — Teacher is denied access to Bookmarks and Application Tracker pages","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","25801","TC-BKM — Student deletes a university from a list via the kebab menu delete-confirmation flow","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","21259","TC-GRDP — Guardian with no linked students is logged out on sign-in","chromium","2026-08-05","passed","2026-08-05","GRDP — Linked Students","","",""
"","63621","TC-GRDP — Guardian with linked students lands on the first linked student's home","chromium","2026-08-05","passed","2026-08-05","GRDP — Linked Students","","",""
"","46426","TC-BKM — Student adds a university to the Applying list via the +Add button","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","42828","TC-APPL — Guardian with full access views Application Tracker for a linked student","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","46518","TC-STUL — Denied-role access: Student and Guardian cannot reach Student List","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
