"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12386","TC-AUTH — Login form rejects invalid credentials and empty fields","chromium","2026-08-05","passed","2026-08-05","AUTH — Login and Logout","","",""
"","29011","TC-AUTH — Password reset form rejects invalid input","chromium","2026-08-05","passed","2026-08-05","AUTH — Password Reset","","",""
"","40120","TC-APPL — Student adds a university to the Applying list via + Add application","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","19902","TC-BKM — Bookmarks page-level empty state shown when the student has no bookmarks and no filter","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","38279","TC-GRDP — Guardian opens a linked student's left-nav icon and sees the sub-nav panel","chromium","2026-08-05","passed","2026-08-05","GRDP — Linked Students","","",""
"","50767","TC-STUL — Student List module-level loading states: skeleton on first load, inline bar on reload","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","52398","TC-BKM — Guardian with full access views Bookmarks page for a linked student","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","39353","TC-APPL — Application actions kebab menu on a Common App application shows exactly its seven documented actions","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","21963","TC-APPL — Application actions kebab menu on an Other-portal application shows exactly its six documented actions","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","43715","TC-STUL — Click student name link to navigate to student profile","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","24422","TC-BKM — Student moves a university from Longlist to Shortlist via the card kebab menu","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","25410","TC-BKM — Student adds a university to the Shortlist via the +Add button","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","42877","TC-BKM — Student adds a university to the Applying list via the +Add button","chromium","2026-08-05","passed","2026-08-05","BKM — Bookmarks board","","",""
"","30753","TC-GRDP — Guardian submits a survey with all questions answered","chromium","2026-08-05","passed","2026-08-05","GRDP — Guardian Surveys","","",""
"","63763","TC-STUL — Denied-role access: Student and Guardian cannot reach Student List","chromium","2026-08-05","passed","2026-08-05","STUL — Student List","","",""
"","32873","TC-APPL — Application actions kebab menu on a UCAS application shows exactly its three documented actions","chromium","2026-08-05","passed","2026-08-05","APPL — Application Tracker","","",""
"","43124","TC-GRDP — Guardian opens their profile edit page and sees current details","chromium","2026-08-05","passed","2026-08-05","GRDP — Guardian Profile","","",""
"","27211","TC-AUTH — Teacher logs in and is redirected to the recommendations page","chromium","2026-08-05","passed","2026-08-05","AUTH — Role-Based Redirects","","",""
